State,Year,DC_Opened,PrevPrice,Avg_kWh,Pred_baseline,DC_minus10,Pred_minus10,DC_plus10,Pred_plus10,DC_plus20,Pred_plus20,DC_slow75,Pred_slow75,DC_fast150,Pred_fast150,DC_ban0,Pred_ban0
IL,2016,1,0.09429359181506096,0.09308444459448825,0.09502241158215664,0.9,0.09502241158215664,1.1,0.09502241158215664,1.2,0.09502241158215664,0.75,0.09502241158215664,1.5,0.09502241158215664,0.0,0.0959580439480018
IL,2017,0,0.09308444459448825,0.09509312380964784,0.0951234127335003,0.0,0.0951234127335003,0.0,0.0951234127335003,0.0,0.0951234127335003,0.0,0.0951234127335003,0.0,0.0951234127335003,0.0,0.0951234127335003
IL,2018,0,0.09509312380964784,0.09854679086856877,0.0988931758788658,0.0,0.0988931758788658,0.0,0.0988931758788658,0.0,0.0988931758788658,0.0,0.0988931758788658,0.0,0.0988931758788658,0.0,0.0988931758788658
IL,2019,0,0.09854679086856877,0.10609973749353079,0.09895057054102796,0.0,0.09895057054102796,0.0,0.09895057054102796,0.0,0.09895057054102796,0.0,0.09895057054102796,0.0,0.09895057054102796,0.0,0.09895057054102796
MI,2018,0,0.11619613763415423,0.1174142633640357,0.12180921215134023,0.0,0.12180921215134023,0.0,0.12180921215134023,0.0,0.12180921215134023,0.0,0.12180921215134023,0.0,0.12180921215134023,0.0,0.12180921215134023
MI,2019,1,0.1174142633640357,0.11582088444005233,0.11989808907275247,0.9,0.11989808907275247,1.1,0.11989808907275247,1.2,0.11989808907275247,0.75,0.11989808907275247,1.5,0.11989808907275247,0.0,0.12180921215134023
MI,2020,0,0.11582088444005233,0.11982813609351833,0.12180921215134023,0.0,0.12180921215134023,0.0,0.12180921215134023,0.0,0.12180921215134023,0.0,0.12180921215134023,0.0,0.12180921215134023,0.0,0.12180921215134023
MI,2021,0,0.11982813609351833,0.12276229066961614,0.12391250109500478,0.0,0.12391250109500478,0.0,0.12391250109500478,0.0,0.12391250109500478,0.0,0.12391250109500478,0.0,0.12391250109500478,0.0,0.12391250109500478
MI,2022,0,0.12276229066961614,0.1304789534148051,0.12391250109500478,0.0,0.12391250109500478,0.0,0.12391250109500478,0.0,0.12391250109500478,0.0,0.12391250109500478,0.0,0.12391250109500478,0.0,0.12391250109500478
MO,2018,0,0.10512576141852098,0.10405437251446192,0.10511011179007473,0.0,0.10511011179007473,0.0,0.10511011179007473,0.0,0.10511011179007473,0.0,0.10511011179007473,0.0,0.10511011179007473,0.0,0.10511011179007473
